Comunidad Autónoma,Año,PIB,Poblacion,PIB per capita,Recoleccion-domésticos y vias,Recoleccion-voluminosos,Recoleccion-metálicos,Recoleccion-vidrio,Recoleccion-papel y carton,Recoleccion-plasticos,Recoleccion-madera,Recoleccion-textiles,Recoleccion-eq. electricos,Recoleccion-pilas,Recoleccion-animales,Recoleccion-Envases mixtos,lodos,Recoleccion-construccion,Recoleccion-otros,TOTAL RESIDUOS MEZCLADOS,TOTAL RESIDUOS DE RECOGIDA SEPARADA,TOTAL RESIDUOS,Reciclado procedente de recogida separada,Materiales recuperados-TMB mezclados,Compostado/Digestion anaerobia de FORS,Compostado/Digestión anaerobia,Incinerado,Vertido de rechazos,Vertido sin tratamiento previo,Total,Biological treatment of waste - Anaerobic digestion at biogas facilities,Biological treatment of waste - Composting,Biological treatment of waste - Solid waste disposal on land,Clinical waste incineration,Cremation,Domestic wastewater handling,Hazardous waste incineration,Industrial waste incineration,Industrial wastewater handling,Municipal waste incineration,Open burning of waste,Other waste (please specify in IIR),Other waste incineration (please specify in the IIR),Other wastewater handling,Sewage sludge incineration
ANDALUCÍA,2010,144752225.0,8370975.0,17292.16,4213174.0,155836.0,11203.0,82031.0,136017.0,28898.0,13528.0,659.0,25185.0,305.0,91419.0,133157.0,18992.0,56816.0,7729.0,4369010.0,605939.0,4974949.0,362002.12,146473.125,37339.1875,625062.69,0.0,2308242.88,486450.6875,3965570.69,,,,,,,,,,,,,,,
ANDALUCÍA,2018,160711363.0,8384408.0,19167.88,3755593.0,153300.0,1600.0,108768.0,117131.0,1677.0,12520.0,3269.0,5036.0,108.0,92395.0,94281.0,0.0,81204.0,374.0,3908893.0,518363.0,4427256.0,412818.0,166217.0,45572.0,685734.0,0.0,2404796.0,599650.0,4314787.0,,,,,,,,,,,,,,,
ANDALUCÍA,2016,148405362.0,8388107.0,17692.35,3545590.0,361986.0,4425.0,99622.0,101816.0,727.0,8619.0,3301.0,4264.0,149.0,89603.0,81932.0,0.0,61285.0,32272.0,3907576.0,488015.0,4395591.0,412.82,166.217,45.572,685.73,0.0,2404796.0,59965.0,4314787.0,,,,,,,,,,,,,,,
ANDALUCÍA,2014,137722026.0,8402305.0,16390.98,3437380.0,252293.0,4321.0,82208.0,95866.0,2361.0,10070.0,2981.0,3006.0,132.0,99030.0,76354.0,0.0,104686.0,553.0,3689673.0,481568.0,4171241.0,341319.0,138760.0,36742.0,600308.0,0.0,2339796.0,451871.0,3908796.0,,,,,,,,,,,,,,,
ANDALUCÍA,2011,143389086.0,8424102.0,17021.29,3796057.0,152281.0,8370.0,74820.0,118200.0,13063.0,9155.0,2267.0,3054.0,148.0,105106.0,136141.0,12181.0,141142.0,724.0,3948338.0,624371.0,4572709.0,366138.75,148015.75,37458.625,630013.62,0.0,2301932.25,493366.625,3976925.62,,,,,,,,,,,,,,,
ANDALUCÍA,2012,138007226.0,8449985.0,16332.25,4134974.0,99589.0,7185.0,76114.0,111678.0,10852.0,16997.0,2259.0,3014.0,129.0,94194.0,131749.0,12325.0,102004.0,6351.0,4234563.0,574851.0,4809414.0,357865.5,144930.5,37219.75,620111.75,0.0,2314553.5,479534.75,3954215.75,,,,,,,,,,,,,,,
ANDALUCÍA,2013,136048003.0,8440300.0,16118.86,3825590.0,181998.0,5361.0,79001.0,100864.0,809.0,12611.0,8134.0,2366.0,134.0,96069.0,77415.0,0.0,121090.0,51452.0,4007588.0,555306.0,4562894.0,374412.0,151101.0,37697.5,639915.5,0.0,2289311.0,507198.5,3999635.5,,,,,,,,,,,,,,,
ANDALUCÍA,2017,155371755.0,8379820.0,18541.18,3493910.0,380959.0,4627.0,91570.0,102877.0,1421.0,13969.0,3392.0,4349.0,118.0,92046.0,85646.0,0.0,110367.0,146.0,3874869.0,510528.0,4385397.0,386538.0,135538.0,37991.0,700793.0,0.0,2172227.0,588749.0,4021836.0,,,,,,,,,,,,,,,
ANDALUCÍA,2015,144745569.0,8399043.0,17233.58,3479079.0,255581.0,4324.0,95057.0,100815.0,2363.0,10079.0,2945.0,3657.0,161.0,98345.0,80176.0,0.0,104780.0,554.0,3734660.0,503256.0,4237916.0,407505.0,163442.0,38653.0,679523.0,0.0,2238826.0,562526.0,4090475.0,,,,,,,,,,,,,,,
ARAGÓN,2012,31963049.0,1349467.0,23685.68,459778.0,4391.0,977.0,23905.0,25516.0,1733.0,10755.0,18.0,1321.0,56.0,4503.0,14095.0,59.0,30534.0,64.0,464169.0,113536.0,577705.0,71837.25,14039.25,0.0,66158.0,0.0,165098.75,211552.75,528685.25,,,,,,,,,,,,,,,
ARAGÓN,2013,32082809.0,1347150.0,23815.32,440763.0,10902.0,362.0,19478.0,26566.0,0.0,880.0,68.0,1051.0,10.0,4978.0,13765.0,0.0,29556.0,12.0,451665.0,96726.0,548391.0,73755.5,12950.5,0.0,65445.0,0.0,170154.5,212087.5,534392.5,,,,,,,,,,,,,,,
ARAGÓN,2016,34214691.0,1308563.0,26146.77,454709.0,3907.0,327.0,17778.0,25012.0,43.0,1230.0,11.0,796.0,57.0,7480.0,15838.0,0.0,1852.0,0.0,458616.0,70424.0,529040.0,82.42,10.209,212.0,79.83,0.0,172831.0,226741.0,572245.0,,,,,,,,,,,,,,,
ARAGÓN,2014,32289054.0,1325385.0,24362.02,444074.0,8027.0,348.0,16668.0,22514.0,13.0,682.0,592.0,856.0,4.0,3996.0,14560.0,0.0,32734.0,23.0,452101.0,92990.0,545091.0,69919.0,15128.0,0.0,66871.0,0.0,160043.0,211018.0,522978.0,,,,,,,,,,,,,,,
ARAGÓN,2015,32876311.0,1317847.0,24946.99,449639.0,8087.0,346.0,17676.0,22445.0,13.0,679.0,591.0,1035.0,5.0,16095.0,16343.0,0.0,32571.0,23.0,457726.0,107822.0,565548.0,77592.0,10773.0,0.0,64019.0,0.0,180266.0,213157.0,545807.0,,,,,,,,,,,,,,,
ARAGÓN,2010,33828995.0,1347095.0,25112.55,479442.0,14003.0,1105.0,23203.0,31964.0,5668.0,3374.0,20.0,1209.0,68.0,4952.0,12360.0,0.0,1547.0,23324.0,493445.0,108794.0,602239.0,72316.81,13767.0625,0.0,65979.75,0.0,166362.69,211686.4375,530112.06,,,,,,,,,,,,,,,
ARAGÓN,2018,36850296.0,1308728.0,28157.34,475448.0,24205.0,324.0,18939.0,28910.0,251.0,3276.0,571.0,1226.0,12.0,8503.0,19142.0,0.0,69649.0,2.0,499653.0,150805.0,650458.0,82418.0,10209.0,212000.0,79834.0,0.0,172831.0,226741.0,572245.0,,,,,,,,,,,,,,,
ARAGÓN,2017,35638352.0,1308750.0,27230.83,470023.0,3391.0,220.0,18197.0,26725.0,0.0,4645.0,581.0,1295.0,46.0,1539.0,16236.0,0.0,36838.0,3.0,473414.0,106325.0,579739.0,80778.0,10387.0,107.0,75285.0,0.0,165486.0,225594.0,557637.0,,,,,,,,,,,,,,,
ARAGÓN,2011,33368344.0,1346293.0,24785.35,487574.0,4693.0,1011.0,23203.0,31964.0,1601.0,10016.0,142.0,1382.0,61.0,4515.0,13781.0,34.0,29211.0,65.0,492267.0,116986.0,609253.0,72796.38,13494.875,0.0,65801.5,0.0,167626.62,211820.125,531538.88,,,,,,,,,,,,,,,
CANARIAS,2017,44205400.0,2108121.0,20969.1,1123413.0,22064.0,1334.0,38888.0,31954.0,76.0,1606.0,1045.0,4541.0,209.0,21812.0,20067.0,0.0,28244.0,216.0,1145477.0,149992.0,1295469.0,133053.0,55610.0,1970.0,197289.0,0.0,716994.0,186790.0,1291705.0,,,,,,,,,,,,,,,
CANARIAS,2012,39204779.0,2118344.0,18507.28,1134763.0,27410.0,1012.0,29126.0,33507.0,6497.0,3484.0,401.0,1935.0,55.0,26477.0,15333.0,5798.0,20521.0,3912.0,1162173.0,148058.0,1310231.0,106048.0,22568.0,1830.75,62863.5,0.0,420741.5,594563.5,1208615.25,,,,,,,,,,,,,,,
CANARIAS,2016,42013704.0,2101924.0,19988.21,1073045.0,23555.0,1096.0,35939.0,33094.0,4549.0,774.0,1078.0,5182.0,48.0,19956.0,18950.0,0.0,24239.0,3597.0,1096600.0,148502.0,1245102.0,140.17,58.936,1.248,176.59,0.0,820742.0,113704.0,1311394.0,,,,,,,,,,,,,,,
